stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
s47607,富山,36.708333,137.201667,55,sunshine_normal,4.492,1.0044,0.0425,15.507,5.907,2.361,5.304,2.867,57.0,1.787,82.0,0.14,0.5972,0.0733,0.3722,3,215,4.257,0.2643,0.3033,4.085,4.689,3,1
s47610,長野,36.661667,138.191667,48,sunshine_normal,5.402,0.5213,0.0317,11.573,5.533,4.319,5.695,0.96,53.0,2.267,18.0,0.06,0.3179,0.1133,0.7506,12,143,7.764,0.1974,0.3118,2.531,3.998,353,1
s47612,高田,37.106667,138.246667,54,sunshine_normal,4.364,1.0208,0.0419,15.307,5.587,2.251,5.115,1.673,48.0,2.68,168.0,0.0667,0.3443,0.1333,0.5514,7,145,4.013,0.233,0.3037,3.498,4.561,7,1
s47615,宇都宮,36.548333,139.868333,41,sunshine_normal,5.37,0.6458,0.0286,10.453,2.88,6.81,3.931,1.427,139.0,2.413,58.0,0.0733,0.3768,0.12,0.6373,178,33,12.235,0.1336,0.3594,0.97,2.609,178,1
s47616,福井,36.055,136.221667,57,sunshine_normal,4.531,0.9661,0.0423,15.427,5.64,2.289,5.278,3.113,60.0,1.78,86.0,0.1533,0.6362,0.0733,0.3638,5,215,4.192,0.2943,0.3289,4.335,4.846,4,1
s47617,高山,36.155,137.253333,52,sunshine_normal,4.49,0.7677,0.0327,11.92,4.653,3.096,4.913,1.333,56.0,2.187,155.0,0.06,0.367,0.1,0.6018,349,140,5.676,0.2534,0.3249,3.296,4.226,349,1
s47618,松本,36.246667,137.97,48,sunshine_normal,5.852,0.386,0.0286,10.453,5.693,5.607,5.78,0.88,166.0,2.227,12.0,0.0467,0.3697,0.1067,0.9356,270,137,10.18,0.2042,0.2685,2.325,3.058,346,1
s47620,諏訪,36.045,138.108333,48,sunshine_normal,5.938,0.3462,0.0275,10.04,5.053,5.971,5.627,2.227,13.0,2.36,12.0,0.1067,0.893,0.1133,0.9465,178,139,10.893,0.1887,0.3087,1.944,3.181,343,1
s47622,軽井沢,36.341667,138.546667,48,sunshine_normal,5.54,0.4859,0.0283,10.333,4.787,6.051,4.686,1.447,190.0,2.34,14.0,0.0733,0.5216,0.1067,0.8437,180,40,10.975,0.1638,0.4286,1.539,4.028,341,1
s47624,前橋,36.405,139.06,42,sunshine_normal,5.899,0.4961,0.0289,10.533,3.96,6.901,4.779,1.76,147.0,2.587,15.0,0.08,0.5355,0.1333,0.787,176,36,12.453,0.1484,0.3872,1.192,3.11,336,1
s47626,熊谷,36.15,139.38,43,sunshine_normal,5.77,0.5275,0.0332,12.107,5.24,6.986,4.775,1.913,150.0,2.513,57.0,0.08,0.5573,0.1333,0.732,175,34,12.684,0.1211,0.3482,0.961,2.761,279,1
s47629,水戸,36.38,140.466667,40,sunshine_normal,5.483,0.3713,0.0305,11.133,6.28,6.209,4.98,1.987,15.0,2.187,103.0,0.1133,0.8187,0.1267,0.9011,174,31,11.206,0.1568,0.2581,1.322,2.176,333,1
s47631,敦賀,35.653333,136.061667,57,sunshine_normal,4.382,1.0021,0.0413,15.08,5.32,2.177,5.2,3.06,60.0,1.62,86.0,0.1533,0.627,0.0667,0.332,5,215,4.016,0.2734,0.3586,3.977,5.216,5,1
s47632,岐阜,35.4,136.761667,52,sunshine_normal,5.781,0.3444,0.0277,10.107,5.213,5.305,5.552,2.353,12.0,2.32,13.0,0.1133,0.9619,0.1,0.9482,180,141,9.838,0.2879,0.3618,3.061,3.847,346,1
s47636,名古屋,35.166667,136.965,51,sunshine_normal,5.864,0.3463,0.027,9.84,4.867,5.737,5.481,2.3,13.0,2.38,12.0,0.1,0.9249,0.1067,0.9571,178,141,10.695,0.2358,0.3618,2.274,3.489,343,1
s47637,飯田,35.523333,137.821667,48,sunshine_normal,5.685,0.353,0.0277,10.107,5.067,5.738,5.492,2.34,11.0,2.38,13.0,0.1133,0.9286,0.1,0.9444,179,141,10.608,0.1766,0.2801,1.82,2.887,345,1
s47638,甲府,35.666667,138.553333,49,sunshine_normal,6.095,0.3762,0.0316,11.547,6.16,6.768,5.469,2.247,15.0,2.26,13.0,0.1,0.8342,0.1067,0.8391,177,34,12.44,0.1464,0.3606,1.223,3.013,334,1
s47640,河口湖,35.5,138.76,49,sunshine_normal,5.523,0.5654,0.0344,12.573,5.867,6.828,4.729,1.673,152.0,2.067,101.0,0.0733,0.499,0.1,0.6163,172,33,12.597,0.0551,0.3343,0.416,2.524,273,1
s47641,秩父,35.99,139.073333,43,sunshine_normal,5.378,0.5909,0.0346,12.64,5.48,6.671,4.372,1.913,150.0,2.433,60.0,0.08,0.5345,0.12,0.6797,176,35,12.167,0.0836,0.3675,0.666,2.929,275,1
