rank,stid,name,latitude,longitude,prid,overall_score,stability_score,transition_score,mean_val,amplitude,ramp,winter_floor,spring_30d_gain,autumn_30d_drop,spring_rise_days,autumn_fall_days
54,s47768,岡山,34.685,133.925,66,-1.2,-2.342,1.142,5.573,0.3744,0.03,4.916,2.54,2.36,11.0,112.0
55,s47936,那覇,26.206667,127.686667,91,-1.134,0.346,-1.48,4.732,0.9178,0.0282,3.111,2.987,1.367,88.0,65.0
56,s47654,浜松,34.753333,137.711667,50,-1.103,-3.261,2.158,6.135,0.346,0.0319,6.691,2.193,2.433,16.0,24.0
57,s47684,四日市,34.94,136.58,53,-1.089,-2.787,1.698,5.448,0.3559,0.0277,4.952,2.287,2.213,12.0,31.0
58,s47407,旭川,43.756667,142.371667,12,-1.081,1.025,-2.106,4.288,1.0351,0.0274,2.462,1.333,1.953,58.0,118.0
59,s47636,名古屋,35.166667,136.965,51,-1.044,-3.424,2.38,5.864,0.3463,0.027,5.737,2.3,2.38,13.0,12.0
60,s47899,室戸岬,33.251667,134.176667,74,-0.969,-1.543,0.574,5.981,0.5208,0.036,5.917,3.833,2.6,11.0,284.0
61,s47890,多度津,34.275,133.751667,72,-0.961,-0.505,-0.456,5.798,0.5549,0.037,4.701,3.193,2.007,159.0,28.0
62,s47769,姫路,34.838333,134.67,63,-0.913,-2.132,1.22,5.578,0.3856,0.0309,4.866,2.633,2.333,12.0,108.0
63,s47887,松山,33.843333,132.776667,73,-0.876,-0.113,-0.764,5.519,0.5603,0.0379,4.331,3.233,1.56,76.0,81.0
64,s47637,飯田,35.523333,137.821667,48,-0.847,-3.292,2.445,5.685,0.353,0.0277,5.738,2.34,2.38,11.0,13.0
65,s47632,岐阜,35.4,136.761667,52,-0.752,-3.048,2.296,5.781,0.3444,0.0277,5.305,2.353,2.32,12.0,13.0
66,s47815,大分,33.235,131.618333,83,-0.702,-1.752,1.05,5.462,0.4257,0.0329,4.973,3.1,2.28,12.0,145.0
67,s47682,千葉,35.601667,140.103333,45,-0.693,-2.018,1.326,5.334,0.4284,0.0355,6.053,2.12,2.167,22.0,24.0
68,s47653,伊良湖,34.628333,137.093333,51,-0.603,-2.7,2.096,6.098,0.4043,0.031,5.89,2.74,2.167,16.0,25.0
69,s47891,高松,34.318333,134.053333,72,-0.582,-0.905,0.323,5.61,0.4939,0.0356,4.662,2.933,1.767,70.0,27.0
70,s47423,室蘭,42.311667,140.975,21,-0.357,1.175,-1.531,4.736,0.9022,0.0332,2.952,1.807,2.133,42.0,163.0
71,s47927,宮古島,24.793333,125.278333,91,-0.353,1.48,-1.832,4.777,1.0865,0.0308,2.858,3.007,1.333,82.0,92.0
72,s47940,名護,26.593333,127.965,91,-0.328,0.718,-1.047,4.762,0.95,0.03,3.138,3.267,1.307,69.0,70.0
73,s47651,津,34.733333,136.518333,53,-0.278,-2.51,2.233,5.785,0.4188,0.0298,5.37,2.76,2.247,13.0,34.0
74,s47897,宿毛,32.905,132.716667,74,-0.166,-1.758,1.591,5.784,0.4587,0.0329,5.158,3.247,2.173,12.0,102.0
75,s47756,津山,35.063333,134.008333,66,-0.145,-0.742,0.597,4.901,0.5757,0.0312,3.752,0.973,2.547,51.0,15.0
76,s47761,彦根,35.275,136.243333,60,-0.074,1.015,-1.089,5.103,0.718,0.0378,3.361,2.933,1.507,64.0,87.0
77,s47670,横浜,35.438333,139.651667,46,-0.055,-1.784,1.73,5.534,0.4482,0.0368,6.11,2.36,2.18,20.0,19.0
78,s47892,宇和島,33.226667,132.551667,73,-0.019,1.033,-1.052,5.302,0.7124,0.0396,3.748,3.267,1.453,78.0,83.0
79,s47588,山形,38.255,140.345,35,-0.018,1.767,-1.785,4.435,0.8975,0.036,2.681,1.273,2.333,57.0,155.0
80,s47809,飯塚,33.651667,130.693333,82,0.101,1.06,-0.959,5.013,0.6256,0.0411,3.614,3.273,1.46,62.0,98.0
81,s47576,むつ,41.283333,141.21,31,0.184,1.929,-1.744,4.332,0.9832,0.0338,2.338,1.68,2.053,42.0,155.0
82,s47675,大島,34.748333,139.361667,44,0.329,-2.018,2.347,5.039,0.4257,0.0313,4.998,2.353,2.413,15.0,21.0
83,s47649,上野,34.761667,136.141667,53,0.338,-1.632,1.97,4.926,0.4582,0.0296,4.139,2.393,2.293,14.0,31.0
84,s47655,御前崎,34.603333,138.213333,50,0.348,-2.469,2.817,6.228,0.4459,0.0345,6.614,2.84,2.42,16.0,25.0
85,s47823,阿久根,32.026667,130.2,88,0.38,1.798,-1.418,5.352,0.7415,0.0438,3.732,4.187,1.447,148.0,88.0
86,s47668,網代,35.045,139.091667,50,0.382,-1.559,1.94,5.005,0.446,0.0332,4.849,2.267,2.32,19.0,22.0
87,s47776,洲本,34.31,134.848333,63,0.386,-0.164,0.55,5.468,0.5869,0.0366,4.232,2.993,1.86,71.0,30.0
88,s47772,大阪,34.681667,135.518333,62,0.415,-1.61,2.025,5.61,0.4544,0.0324,4.777,2.713,2.127,13.0,25.0
89,s47837,種子島,30.72,130.981667,88,0.524,0.982,-0.458,4.985,0.7936,0.0374,3.718,3.96,1.7,126.0,75.0
